Method,Scenario,Analyte,ComparisonTreatment,mean,median,lower_95,upper_95,n_draws,absolute_mean_kg,absolute_median_kg,absolute_lower_95_kg,absolute_upper_95_kg,n_absolute_draws,n_total_draws,n_valid_percent_draws,probability_treatment_lower_than_ct,n_invalid_percent_draws,fraction_invalid_percent_draws,definition,PointPercentDifference,primary_center,primary_center_type,primary_center_within_draw_interval
Bayes,model_only,NH4,MT,5.104661557389077,6.269935453949129,-30.18709271643603,35.9460020716424,1500,0.016058723045034768,0.01622816445750569,-0.07823637953333235,0.114800778133775,1500,1500,1500,0.6306666666666667,0,0.0,"100 * (CT - treatment) / CT within draw; positive means lower than CT; missing, nonpositive, or <=1e-12 kg CT denominators are invalid and retained in QC",,6.269935453949129,posterior_median,True
Bayes,model_only,NH4,ST,1.4428549608706687,2.3054291048581774,-34.573568474972596,32.23696670422949,1500,0.005695859819021439,0.007039380153409838,-0.09998112242233323,0.10751662220432047,1500,1500,1500,0.564,0,0.0,"100 * (CT - treatment) / CT within draw; positive means lower than CT; missing, nonpositive, or <=1e-12 kg CT denominators are invalid and retained in QC",,2.3054291048581774,posterior_median,True
Bayes,model_only,NO2,MT,15.573506969032186,17.448671797149956,-17.819308845335463,41.9543800100391,1500,0.17579952892226547,0.15071967365632505,-0.129247720709814,0.6083269812864522,1500,1500,1500,0.8433333333333334,0,0.0,"100 * (CT - treatment) / CT within draw; positive means lower than CT; missing, nonpositive, or <=1e-12 kg CT denominators are invalid and retained in QC",,17.448671797149956,posterior_median,True
Bayes,model_only,NO2,ST,12.98697599695899,14.339112135304422,-22.264285064057777,41.02729569906224,1500,0.15173951634617153,0.12221040857504772,-0.1532797268714059,0.573268436723976,1500,1500,1500,0.7953333333333333,0,0.0,"100 * (CT - treatment) / CT within draw; positive means lower than CT; missing, nonpositive, or <=1e-12 kg CT denominators are invalid and retained in QC",,14.339112135304422,posterior_median,True
Bayes,model_only,NO3,MT,4.375101690631378,4.5086348843004656,-11.422576752998472,18.022131823895116,1500,0.8229926630236459,0.7967206065204238,-1.852271152836175,3.4958662166935555,1500,1500,1500,0.7166666666666667,0,0.0,"100 * (CT - treatment) / CT within draw; positive means lower than CT; missing, nonpositive, or <=1e-12 kg CT denominators are invalid and retained in QC",,4.5086348843004656,posterior_median,True
Bayes,model_only,NO3,ST,2.885505838627437,3.1828802306962234,-12.392785300431248,16.066633025060085,1500,0.5607559660037262,0.5577840179592917,-2.0836910040985286,3.1376420249372887,1500,1500,1500,0.668,0,0.0,"100 * (CT - treatment) / CT within draw; positive means lower than CT; missing, nonpositive, or <=1e-12 kg CT denominators are invalid and retained in QC",,3.1828802306962234,posterior_median,True
Bayes,model_only,OP,MT,-12.847178870724038,-11.826245927982033,-43.88548291379234,11.087236814252877,1500,-0.045102907948795824,-0.04510023121718279,-0.1436973313967169,0.0524065229816595,1500,1500,1500,0.18133333333333335,0,0.0,"100 * (CT - treatment) / CT within draw; positive means lower than CT; missing, nonpositive, or <=1e-12 kg CT denominators are invalid and retained in QC",,-11.826245927982033,posterior_median,True
Bayes,model_only,OP,ST,-15.495858627857142,-14.117835318982852,-45.072227872029764,7.690076354141846,1500,-0.055661043578296446,-0.055253186057940246,-0.14798464810128992,0.03498067450335581,1500,1500,1500,0.11866666666666667,0,0.0,"100 * (CT - treatment) / CT within draw; positive means lower than CT; missing, nonpositive, or <=1e-12 kg CT denominators are invalid and retained in QC",,-14.117835318982852,posterior_median,True
Bayes,model_only,Se,MT,11.21993130011547,11.550829945349452,-4.732440634679919,25.465770368015036,1500,0.0018791686384127643,0.0019230244700266345,-0.0007088845419950396,0.004568739508707661,1500,1500,1500,0.9266666666666666,0,0.0,"100 * (CT - treatment) / CT within draw; positive means lower than CT; missing, nonpositive, or <=1e-12 kg CT denominators are invalid and retained in QC",,11.550829945349452,posterior_median,True
Bayes,model_only,Se,ST,7.886906468602027,8.131241541261447,-7.917822234361167,21.756620257916243,1500,0.0013418996541716547,0.0013501230816992463,-0.0011756906238031284,0.0038985045905278407,1500,1500,1500,0.866,0,0.0,"100 * (CT - treatment) / CT within draw; positive means lower than CT; missing, nonpositive, or <=1e-12 kg CT denominators are invalid and retained in QC",,8.131241541261447,posterior_median,True
