Method,Scenario,Year,Analyte,Treatment,mean,median,lower_95,upper_95,n_draws,PointTotal_kg,primary_center,primary_center_type,primary_center_within_draw_interval
Bayes,model_only,2011,NH4,CT,0.01606798640723523,0.015145665895123318,0.0012558394077579642,0.03724099304681712,1500,,0.015145665895123318,posterior_median,True
Bayes,model_only,2011,NH4,MT,0.013417354578360208,0.011997292640637888,0.0007841129761573688,0.03378450788228803,1500,,0.011997292640637888,posterior_median,True
Bayes,model_only,2011,NH4,ST,0.01303224074604627,0.011636224275313117,0.0007842940085014142,0.034142141976739114,1500,,0.011636224275313117,posterior_median,True
Bayes,model_only,2011,NO2,CT,0.06433203135357475,0.04897693006959314,0.0,0.2299313536330654,1500,,0.04897693006959314,posterior_median,True
Bayes,model_only,2011,NO2,MT,0.04876988499504008,0.03301053334865259,0.0,0.1944494792955136,1500,,0.03301053334865259,posterior_median,True
Bayes,model_only,2011,NO2,ST,0.0505575749699473,0.0352420128603484,0.0,0.19564514718843568,1500,,0.0352420128603484,posterior_median,True
Bayes,model_only,2011,NO3,CT,0.9802971522487107,0.9687294838492493,0.6401420110654379,1.390516322615013,1500,,0.9687294838492493,posterior_median,True
Bayes,model_only,2011,NO3,MT,0.8599076939285409,0.8427821260091801,0.49024219280579534,1.3175440512439145,1500,,0.8427821260091801,posterior_median,True
Bayes,model_only,2011,NO3,ST,0.8688317257098661,0.8611891563546239,0.523405223152486,1.2955623297712482,1500,,0.8611891563546239,posterior_median,True
Bayes,model_only,2011,OP,CT,0.02172473207666786,0.0206589573298977,0.006707729165767918,0.042203468036852244,1500,,0.0206589573298977,posterior_median,True
Bayes,model_only,2011,OP,MT,0.018841028181870938,0.0181519141789055,0.005067641976812054,0.03660691409205174,1500,,0.0181519141789055,posterior_median,True
Bayes,model_only,2011,OP,ST,0.018294781894174886,0.017780235433110823,0.004906606719468263,0.035943842801109974,1500,,0.017780235433110823,posterior_median,True
Bayes,model_only,2011,Se,CT,0.0008710245482791358,0.0008649125719537433,0.0004727592105152615,0.0012625872530405622,1500,,0.0008649125719537433,posterior_median,True
Bayes,model_only,2011,Se,MT,0.0006745432611428097,0.0006638441242469969,0.0003319837012850667,0.0011110099945598458,1500,,0.0006638441242469969,posterior_median,True
Bayes,model_only,2011,Se,ST,0.0006854782280417143,0.0006751497855130868,0.00034370103538917897,0.001085507723781146,1500,,0.0006751497855130868,posterior_median,True
Bayes,model_only,2011,TDS,CT,116.02469536325516,114.67078927510597,60.01883870018634,177.33518816013685,1500,,114.67078927510597,posterior_median,True
Bayes,model_only,2011,TDS,MT,103.14631620122513,101.51954406797753,47.648572988804496,167.2584373939606,1500,,101.51954406797753,posterior_median,True
Bayes,model_only,2011,TDS,ST,104.01370931084217,102.5072850925303,51.428414290970274,165.72999517003694,1500,,102.5072850925303,posterior_median,True
Bayes,model_only,2011,TKN,CT,0.33460782264914934,0.28958714993352186,0.009084723096153607,0.9284822723153789,1500,,0.28958714993352186,posterior_median,True
Bayes,model_only,2011,TKN,MT,0.26479715701370826,0.2241123757521113,0.009164516223133596,0.7475266769666717,1500,,0.2241123757521113,posterior_median,True
Bayes,model_only,2011,TKN,ST,0.2800246144296934,0.23583842037744912,0.0003326738594076744,0.8292908357872701,1500,,0.23583842037744912,posterior_median,True
Bayes,model_only,2011,TN,CT,0.7950205088615259,0.7695615015415576,0.3763037225169445,1.3632613416414345,1500,,0.7695615015415576,posterior_median,True
Bayes,model_only,2011,TN,MT,0.6370995823400086,0.6128927666287324,0.2429886325319099,1.1288338193085863,1500,,0.6128927666287324,posterior_median,True
Bayes,model_only,2011,TN,ST,0.6214389519404379,0.6100117058657761,0.22253046353419134,1.0822162731399312,1500,,0.6100117058657761,posterior_median,True
Bayes,model_only,2011,TP,CT,0.15468040337019112,0.14327351815281938,0.011130999765901583,0.36865994784734446,1500,,0.14327351815281938,posterior_median,True
Bayes,model_only,2011,TP,MT,0.12761707368178218,0.11600182247595334,0.002287339437088008,0.33005581635791464,1500,,0.11600182247595334,posterior_median,True
Bayes,model_only,2011,TP,ST,0.11739889738366063,0.10396977678978264,0.0018936026975705596,0.30262624030464624,1500,,0.10396977678978264,posterior_median,True
Bayes,model_only,2011,TSS,CT,118.20101813783391,108.58439638901982,10.168915966763073,279.8880939572849,1500,,108.58439638901982,posterior_median,True
Bayes,model_only,2011,TSS,MT,62.45373065440002,50.56144050813741,0.9183108474190137,187.81463916707926,1500,,50.56144050813741,posterior_median,True
Bayes,model_only,2011,TSS,ST,53.14872506744218,39.637612166146596,0.0,178.32986305750234,1500,,39.637612166146596,posterior_median,True
Bayes,model_only,2012,NH4,CT,0.020258158245691816,0.018010419602174685,0.0009045035667618658,0.05459798985263811,1500,,0.018010419602174685,posterior_median,True
Bayes,model_only,2012,NH4,MT,0.017259274474021303,0.01533975598577796,0.0015840054259324806,0.04454276539646462,1500,,0.01533975598577796,posterior_median,True
Bayes,model_only,2012,NH4,ST,0.014486790020749278,0.012792070759187325,0.0009633074936003128,0.04011166370773858,1500,,0.012792070759187325,posterior_median,True
