Method,Evaluation,Target,Grouping,Analyte,Treatment,n,RMSE_original_units,NRMSE_mean_observed,IntervalCoverage,ComparisonSeries
Bayes,posterior_predictive_fit,Result_mg_L,analyte_overall,NH4,all,82,0.017424359865686235,0.16918857418428315,1.0,Bayes posterior-predictive fit
Bayes,posterior_predictive_fit,Result_mg_L,analyte_overall,NO2,all,440,0.16634368184738038,0.5561389299336457,0.9840909090909091,Bayes posterior-predictive fit
Bayes,posterior_predictive_fit,Result_mg_L,analyte_overall,NO3,all,831,0.9230140601079884,0.14516798896186053,0.950661853188929,Bayes posterior-predictive fit
Bayes,posterior_predictive_fit,Result_mg_L,analyte_overall,OP,all,811,0.14731563297491498,1.0092413210337647,0.9112207151664612,Bayes posterior-predictive fit
Bayes,posterior_predictive_fit,Result_mg_L,analyte_overall,Se,all,215,0.0008444232094887486,0.1289168276479684,0.9395348837209302,Bayes posterior-predictive fit
Bayes,posterior_predictive_fit,Result_mg_L,analyte_overall,TDS,all,368,95.13036296330509,0.10266448550559913,0.9864130434782609,Bayes posterior-predictive fit
Bayes,posterior_predictive_fit,Result_mg_L,analyte_overall,TKN,all,739,1.921509191610056,0.9128092586163252,0.9607577807848444,Bayes posterior-predictive fit
Bayes,posterior_predictive_fit,Result_mg_L,analyte_overall,TN,all,172,2.1409336159178975,0.334399669758035,0.9825581395348837,Bayes posterior-predictive fit
Bayes,posterior_predictive_fit,Result_mg_L,analyte_overall,TP,all,815,2.198233512554097,1.904051686361847,0.9312883435582822,Bayes posterior-predictive fit
Bayes,posterior_predictive_fit,Result_mg_L,analyte_overall,TSS,all,894,2069.8092008833087,1.580898157483351,0.8791946308724832,Bayes posterior-predictive fit
Bayes,posterior_predictive_fit,Result_mg_L,analyte_treatment,NH4,CT,28,0.02032005675952208,0.1750651043897287,1.0,Bayes posterior-predictive fit
Bayes,posterior_predictive_fit,Result_mg_L,analyte_treatment,NH4,MT,28,0.015554328417414208,0.17462758447778584,1.0,Bayes posterior-predictive fit
Bayes,posterior_predictive_fit,Result_mg_L,analyte_treatment,NH4,ST,26,0.015884572187911748,0.15290591517427077,1.0,Bayes posterior-predictive fit
Bayes,posterior_predictive_fit,Result_mg_L,analyte_treatment,NO2,CT,140,0.18344611801779254,0.5944325083321594,0.9785714285714285,Bayes posterior-predictive fit
Bayes,posterior_predictive_fit,Result_mg_L,analyte_treatment,NO2,MT,152,0.17953758407897094,0.6095671732672963,0.9802631578947368,Bayes posterior-predictive fit
Bayes,posterior_predictive_fit,Result_mg_L,analyte_treatment,NO2,ST,148,0.131622437165988,0.44646407912922237,0.9932432432432432,Bayes posterior-predictive fit
Bayes,posterior_predictive_fit,Result_mg_L,analyte_treatment,NO3,CT,280,0.831309772051145,0.13075519453980886,0.9571428571428572,Bayes posterior-predictive fit
Bayes,posterior_predictive_fit,Result_mg_L,analyte_treatment,NO3,MT,269,0.872996088583565,0.13778032086458525,0.9702602230483272,Bayes posterior-predictive fit
Bayes,posterior_predictive_fit,Result_mg_L,analyte_treatment,NO3,ST,282,1.0475612364365448,0.1641992056485214,0.925531914893617,Bayes posterior-predictive fit
Bayes,posterior_predictive_fit,Result_mg_L,analyte_treatment,OP,CT,269,0.13879097093269982,1.010112583017133,0.9442379182156134,Bayes posterior-predictive fit
Bayes,posterior_predictive_fit,Result_mg_L,analyte_treatment,OP,MT,267,0.14021502532993618,0.9109524238531513,0.9026217228464419,Bayes posterior-predictive fit
Bayes,posterior_predictive_fit,Result_mg_L,analyte_treatment,OP,ST,275,0.16146173931870145,1.101212229672947,0.8872727272727273,Bayes posterior-predictive fit
Bayes,posterior_predictive_fit,Result_mg_L,analyte_treatment,Se,CT,68,0.0010139574085981575,0.14193483425557804,0.9117647058823529,Bayes posterior-predictive fit
Bayes,posterior_predictive_fit,Result_mg_L,analyte_treatment,Se,MT,74,0.0007721050385169522,0.12388502352613716,0.9459459459459459,Bayes posterior-predictive fit
Bayes,posterior_predictive_fit,Result_mg_L,analyte_treatment,Se,ST,73,0.0007335370960130441,0.11608109258389815,0.958904109589041,Bayes posterior-predictive fit
Bayes,posterior_predictive_fit,Result_mg_L,analyte_treatment,TDS,CT,119,105.32479744935871,0.11632806371096012,0.9831932773109243,Bayes posterior-predictive fit
Bayes,posterior_predictive_fit,Result_mg_L,analyte_treatment,TDS,MT,126,80.83116262373122,0.08613022199606025,0.9920634920634921,Bayes posterior-predictive fit
Bayes,posterior_predictive_fit,Result_mg_L,analyte_treatment,TDS,ST,123,98.23539454360426,0.10506733386257042,0.983739837398374,Bayes posterior-predictive fit
Bayes,posterior_predictive_fit,Result_mg_L,analyte_treatment,TKN,CT,243,1.2064219123648174,0.5176551315230339,0.9753086419753086,Bayes posterior-predictive fit
Bayes,posterior_predictive_fit,Result_mg_L,analyte_treatment,TKN,MT,246,2.061113409481306,1.0830748269917554,0.959349593495935,Bayes posterior-predictive fit
Bayes,posterior_predictive_fit,Result_mg_L,analyte_treatment,TKN,ST,250,2.306342869731724,1.1063400601209425,0.948,Bayes posterior-predictive fit
Bayes,posterior_predictive_fit,Result_mg_L,analyte_treatment,TN,CT,63,2.9870267193977487,0.44069853943012616,0.9682539682539683,Bayes posterior-predictive fit
Bayes,posterior_predictive_fit,Result_mg_L,analyte_treatment,TN,MT,50,1.108364945488823,0.18102551905022668,1.0,Bayes posterior-predictive fit
Bayes,posterior_predictive_fit,Result_mg_L,analyte_treatment,TN,ST,59,1.6715378831097865,0.2679518089831313,0.9830508474576272,Bayes posterior-predictive fit
Bayes,posterior_predictive_fit,Result_mg_L,analyte_treatment,TP,CT,272,1.1020382716537303,1.109938421595676,0.9595588235294118,Bayes posterior-predictive fit
Bayes,posterior_predictive_fit,Result_mg_L,analyte_treatment,TP,MT,267,3.2029443723016833,2.389502302097413,0.9101123595505618,Bayes posterior-predictive fit
Bayes,posterior_predictive_fit,Result_mg_L,analyte_treatment,TP,ST,276,1.7742251108267721,1.5646773918584276,0.9239130434782609,Bayes posterior-predictive fit
Bayes,posterior_predictive_fit,Result_mg_L,analyte_treatment,TSS,CT,297,1590.346640163705,1.1025603717960124,0.8653198653198653,Bayes posterior-predictive fit
Bayes,posterior_predictive_fit,Result_mg_L,analyte_treatment,TSS,MT,294,2561.125178993821,2.0588691183705596,0.8945578231292517,Bayes posterior-predictive fit
Bayes,posterior_predictive_fit,Result_mg_L,analyte_treatment,TSS,ST,303,1948.4857871301251,1.5686756891922358,0.8778877887788779,Bayes posterior-predictive fit
Bayes,posterior_predictive_fit,Volume_L,overall,all,all,372,12712.391133682866,0.4407504837108032,0.8897849462365591,Bayes posterior-predictive fit
Bayes,posterior_predictive_fit,Volume_L,treatment,all,CT,125,13843.917386248788,0.44697296473148357,0.904,Bayes posterior-predictive fit
Bayes,posterior_predictive_fit,Volume_L,treatment,all,MT,108,12142.440498540293,0.42663510875569133,0.9074074074074074,Bayes posterior-predictive fit
Bayes,posterior_predictive_fit,Volume_L,treatment,all,ST,139,12066.025008139828,0.44321818644818417,0.8633093525179856,Bayes posterior-predictive fit
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_overall,NH4,all,42,0.09212792570877877,0.8476172792483478,,ML full-record reconstruction
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_overall,NO2,all,129,0.1683135547875923,0.6057231331017675,,ML full-record reconstruction
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_overall,NO3,all,356,0.9483431538593866,0.13506408160647074,,ML full-record reconstruction
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_overall,OP,all,335,0.09742382219203899,0.8042428829829986,,ML full-record reconstruction
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_overall,Se,all,101,0.04364760400140115,6.594082634010705,,ML full-record reconstruction
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_overall,TDS,all,97,94.22773159913399,0.1064751139018085,,ML full-record reconstruction
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_overall,TKN,all,313,1.4618068795120935,0.5762418706504024,,ML full-record reconstruction
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_overall,TN,all,104,1.1156047453015923,0.19652556066294913,,ML full-record reconstruction
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_overall,TP,all,361,0.6412505603141976,0.7444316778579685,,ML full-record reconstruction
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_overall,TSS,all,400,547.4429574981415,0.5606383115599145,,ML full-record reconstruction
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,NH4,CT,14,0.1480276809171289,1.275315404824495,,ML full-record reconstruction
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,NH4,MT,14,0.03976250670304812,0.44641146258434145,,ML full-record reconstruction
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,NH4,ST,14,0.04437806698351689,0.36697751787905286,,ML full-record reconstruction
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,NO2,CT,42,0.10879136297326342,0.38416321211342386,,ML full-record reconstruction
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,NO2,MT,43,0.10508802342584754,0.3759232151167958,,ML full-record reconstruction
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,NO2,ST,44,0.24691439762654657,0.9105886761854035,,ML full-record reconstruction
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,NO3,CT,121,0.6703933801965655,0.09668810666971538,,ML full-record reconstruction
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,NO3,MT,116,1.2060979708043071,0.1683515348944635,,ML full-record reconstruction
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,NO3,ST,119,0.9030647937787919,0.12953407920406965,,ML full-record reconstruction
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,OP,CT,111,0.07572217555269861,0.6664416021526758,,ML full-record reconstruction
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,OP,MT,112,0.1235548948263348,0.8767477568694837,,ML full-record reconstruction
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,OP,ST,112,0.08626119581166551,0.792848379705924,,ML full-record reconstruction
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,Se,CT,33,0.048015363029141285,6.5424128988053285,,ML full-record reconstruction
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,Se,MT,34,0.048359241312774054,7.753898630673511,,ML full-record reconstruction
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,Se,ST,34,0.03290933064743133,5.221265711678327,,ML full-record reconstruction
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,TDS,CT,32,149.35903659794465,0.16970508534572154,,ML full-record reconstruction
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,TDS,MT,32,46.23537764399174,0.05199002335398607,,ML full-record reconstruction
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,TDS,ST,33,48.922734792400625,0.055249657717026134,,ML full-record reconstruction
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,TKN,CT,105,1.4220682383568723,0.47948353077500605,,ML full-record reconstruction
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,TKN,MT,102,1.0457659053887254,0.5010810159419097,,ML full-record reconstruction
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,TKN,ST,106,1.8039635452989604,0.7089369134894775,,ML full-record reconstruction
