Method,Scenario,Year,Analyte,Treatment,mean,median,lower_95,upper_95,n_draws,PointTotal_kg,primary_center,primary_center_type,primary_center_within_draw_interval
Bayes,model_only,2011,NH4,CT,0.028825690458388346,0.029427658157083952,-0.014953822937339904,0.0695239999334508,1500,,0.029427658157083952,posterior_median,True
Bayes,model_only,2011,NH4,MT,0.03751064269112603,0.03759115633309316,-0.010262034001216128,0.08272503260776791,1500,,0.03759115633309316,posterior_median,True
Bayes,model_only,2011,NH4,ST,0.03804580003746056,0.03797468130104886,-0.00977689080232868,0.08358253843547299,1500,,0.03797468130104886,posterior_median,True
Bayes,model_only,2011,NO2,CT,0.10488689838984355,0.10079852121247718,-0.34031442564513376,0.5998235034208422,1500,,0.10079852121247718,posterior_median,True
Bayes,model_only,2011,NO2,MT,0.10794837704332762,0.10267318835375433,-0.4025559006630268,0.637334112410226,1500,,0.10267318835375433,posterior_median,True
Bayes,model_only,2011,NO2,ST,0.10799842679734808,0.10365843390282736,-0.41038708562723836,0.6446585605464649,1500,,0.10365843390282736,posterior_median,True
Bayes,model_only,2011,NO3,CT,2.5693364518213415,2.556015933958599,1.9403097438312007,3.255360293801031,1500,,2.556015933958599,posterior_median,True
Bayes,model_only,2011,NO3,MT,2.9047779952719397,2.9045850804150595,2.2565510428513615,3.551379024766461,1500,,2.9045850804150595,posterior_median,True
Bayes,model_only,2011,NO3,ST,2.924425649967543,2.9242852193020554,2.258415494501263,3.5922410093365578,1500,,2.9242852193020554,posterior_median,True
Bayes,model_only,2011,OP,CT,0.0555322448005989,0.05573146446082346,0.019456638077460547,0.0921575846538811,1500,,0.05573146446082346,posterior_median,True
Bayes,model_only,2011,OP,MT,0.02982821671628939,0.030881164805491558,-0.015828517667514853,0.07022503686888472,1500,,0.030881164805491558,posterior_median,True
Bayes,model_only,2011,OP,ST,0.02805802773348636,0.029001559093476494,-0.019147998331919602,0.069661885233479,1500,,0.029001559093476494,posterior_median,True
Bayes,model_only,2011,Se,CT,0.0025848685606741618,0.002562473875183116,0.0017316478313659208,0.0035788142620639773,1500,,0.002562473875183116,posterior_median,True
Bayes,model_only,2011,Se,MT,0.002673532571479115,0.0026672087936894387,0.0017807880421695252,0.0036460171096470303,1500,,0.0026672087936894387,posterior_median,True
Bayes,model_only,2011,Se,ST,0.0026769231972839608,0.0026660485079600784,0.001767710749489776,0.003674429954604057,1500,,0.0026660485079600784,posterior_median,True
Bayes,model_only,2011,TDS,CT,305.90606331272176,303.20344704472745,178.09974805723581,456.89562157008424,1500,,303.20344704472745,posterior_median,True
Bayes,model_only,2011,TDS,MT,360.84387841095884,357.8863488449628,212.32106476250243,510.92246088101217,1500,,357.8863488449628,posterior_median,True
Bayes,model_only,2011,TDS,ST,364.2076702793802,361.1451353485165,211.2386504839617,515.5036503357476,1500,,361.1451353485165,posterior_median,True
Bayes,model_only,2011,TKN,CT,1.5877618720540607,1.5588813027514958,0.1743399281457435,2.955460601833059,1500,,1.5588813027514958,posterior_median,True
Bayes,model_only,2011,TKN,MT,1.0572600354570736,1.0488521575836445,-0.5081188570116599,2.6003685192106376,1500,,1.0488521575836445,posterior_median,True
Bayes,model_only,2011,TKN,ST,1.0205075674997848,1.012666074834077,-0.5643305097995099,2.596071335663557,1500,,1.012666074834077,posterior_median,True
Bayes,model_only,2011,TN,CT,2.0802228212058886,2.034549655686332,1.3811549597606436,2.980858944962277,1500,,2.034549655686332,posterior_median,True
Bayes,model_only,2011,TN,MT,2.3984209875826905,2.385607692895616,1.303939643333316,3.5489449763085323,1500,,2.385607692895616,posterior_median,True
Bayes,model_only,2011,TN,ST,2.4177414090328724,2.408151273908538,1.2830767834923176,3.6080550208001743,1500,,2.408151273908538,posterior_median,True
Bayes,model_only,2011,TP,CT,0.6601665295425554,0.6517316413575677,0.25617445251507803,1.1070471565652866,1500,,0.6517316413575677,posterior_median,True
Bayes,model_only,2011,TP,MT,0.19733382279647618,0.20908138630806233,-0.30182535419488954,0.6342107741181957,1500,,0.20908138630806233,posterior_median,True
Bayes,model_only,2011,TP,ST,0.16593960217224873,0.17849829984903232,-0.34158630898211095,0.6105383402599704,1500,,0.17849829984903232,posterior_median,True
