Method,Scenario,Analyte,Draw,CT,MT,ComparisonTreatment,valid_percent_denominator,AbsoluteDifference_CT_minus_T_kg,PercentDifferenceRelativeToCT,TreatmentLowerThanCT,ST
BayesSensitivity,annual_draw_truncation_at_zero,NH4,3,0.2526776325424548,0.271590680554334,MT,True,-0.018913048011879208,-7.485050347185537,0.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,4,0.3347350973151939,0.3118894626616545,MT,True,0.022845634653539393,6.824989323431311,1.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,5,0.3578493719952964,0.38382460334608925,MT,True,-0.025975231350792882,-7.258705305520084,0.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,6,0.27184423357840337,0.21341855466266518,MT,True,0.05842567891573819,21.492337044143138,1.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,19,0.1532558372447849,0.14250914848173216,MT,True,0.010746688763052736,7.0122541211189215,1.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,30,0.26423118070018875,0.2665082058480779,MT,True,-0.0022770251478891335,-0.8617549003320587,0.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,32,0.21917967813417558,0.17057888194475035,MT,True,0.04860079618942523,22.17395180207957,1.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,34,0.22276345894539426,0.25303231550757466,MT,True,-0.030268856562180396,-13.587891257156391,0.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,35,0.29799764020604713,0.2835999903913649,MT,True,0.014397649814682223,4.831464371572583,1.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,37,0.20193832770892697,0.24806035925038267,MT,True,-0.046122031541455694,-22.83966202192968,0.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,46,0.28891925058952317,0.30923280547169,MT,True,-0.02031355488216685,-7.03087621912289,0.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,49,0.4100065399823633,0.27212752057498835,MT,True,0.13787901940737496,33.62849270972749,1.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,51,0.49171767184287857,0.46227594182134124,MT,True,0.029441730021537327,5.987527336813922,1.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,52,0.3943340801400652,0.4014753797428272,MT,True,-0.007141299602761997,-1.8109770274548544,0.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,54,0.41865207010732935,0.494537036990811,MT,True,-0.07588496688348162,-18.12602213194051,0.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,55,0.4719514085120041,0.45511375975772095,MT,True,0.016837648754283174,3.5676657491858945,1.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,58,0.31096951059323086,0.3204531804511701,MT,True,-0.009483669857939248,-3.0497105133707234,0.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,59,0.30928132252660956,0.34216142851787396,MT,True,-0.0328801059912644,-10.631132110616056,0.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,60,0.3610783130151829,0.3782126047882623,MT,True,-0.017134291773079402,-4.745311793998253,0.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,64,0.24681022696295643,0.29900096846939245,MT,True,-0.05219074150643602,-21.146101662257816,0.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,68,0.33789488181214145,0.3213715134647866,MT,True,0.01652336834735485,4.890091338092923,1.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,69,0.2227291088839425,0.20180514688150358,MT,True,0.02092396200243893,9.394354472697945,1.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,73,0.3427551044172564,0.4006510284171042,MT,True,-0.05789592399984783,-16.891338233541706,0.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,74,0.1675955817430526,0.180665780315096,MT,True,-0.01307019857204339,-7.798653422786423,0.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,75,0.17153432871405497,0.1824733484172607,MT,True,-0.010939019703205738,-6.377160644876462,0.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,78,0.27728983932585444,0.25244312809396574,MT,True,0.024846711231888696,8.96055596277739,1.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,82,0.19495775427741696,0.14250172082309104,MT,True,0.05245603345432592,26.906359097511512,1.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,88,0.11727889110994165,0.08055805106323713,MT,True,0.03672084004670452,31.31069854018403,1.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,93,0.4512637589780082,0.5671328384006382,MT,True,-0.11586907942263003,-25.676575421222065,0.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,96,0.18979963925694684,0.21152934951346572,MT,True,-0.021729710256518875,-11.448762674992041,0.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,99,0.29495115993565846,0.28854431891533305,MT,True,0.0064068410203254045,2.1721701388538404,1.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,101,0.29469396516022434,0.3115240737938042,MT,True,-0.016830108633579866,-5.711046245697424,0.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,103,0.28740561538939435,0.2920912662597461,MT,True,-0.004685650870351721,-1.6303268340819717,0.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,106,0.23319399782844313,0.19978571011703583,MT,True,0.0334082877114073,14.326392626959983,1.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,110,0.2599401577441015,0.2897118859043453,MT,True,-0.029771728160243816,-11.453300797621521,0.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,111,0.3033320540013637,0.3011462196724285,MT,True,0.00218583432893521,0.7206077630441863,1.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,112,0.30236836223171276,0.2547804459682169,MT,True,0.047587916263495844,15.738391382041478,1.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,113,0.30486947475672954,0.259892260136322,MT,True,0.044977214620407546,14.75294128948039,1.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,114,0.2663847202672376,0.22890945566711599,MT,True,0.0374752646001216,14.068098411397754,1.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,120,0.3302378441942731,0.2920717973651177,MT,True,0.03816604682915542,11.557139043913757,1.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,121,0.28941366379022393,0.24127299082732867,MT,True,0.04814067296289526,16.633863215867073,1.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,123,0.2309319291989552,0.20676591433531905,MT,True,0.024166014863636148,10.46456198043379,1.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,126,0.5288486940345514,0.4351681144750864,MT,True,0.09368057955946496,17.714060867727984,1.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,129,0.3540859410924687,0.4078589867078424,MT,True,-0.05377304561537366,-15.186439046257123,0.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,131,0.3565552839488557,0.40391504941791984,MT,True,-0.04735976546906412,-13.282586908979141,0.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,132,0.2017657608571235,0.13509818684442673,MT,True,0.06666757401269677,33.04206508055949,1.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,133,0.2877038796929957,0.272174540192534,MT,True,0.015529339500461703,5.397681643025745,1.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,136,0.43094328780015473,0.3334436333612141,MT,True,0.09749965443894065,22.62470659112692,1.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,140,0.501778616263795,0.4594919761304552,MT,True,0.042286640133339826,8.427349983186389,1.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,142,0.26588893858087864,0.2965398123617996,MT,True,-0.030650873780920962,-11.527697972135655,0.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,144,0.22752066770629467,0.18693565495421788,MT,True,0.04058501275207679,17.83794551995065,1.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,146,0.2827412243116777,0.2846444292072786,MT,True,-0.0019032048956009184,-0.6731260714578128,0.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,156,0.29263721218089306,0.291665972460165,MT,True,0.0009712397207280454,0.3318920767081651,1.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,163,0.2967138239704884,0.2647786617883562,MT,True,0.031935162182132215,10.76295056118064,1.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,167,0.22995180704736473,0.27987719636401054,MT,True,-0.04992538931664581,-21.711240262774858,0.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,169,0.31477411301593794,0.33703929133871435,MT,True,-0.022265178322776413,-7.073382912415375,0.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,175,0.21683441664898576,0.1796823225966815,MT,True,0.03715209405230427,17.13385477566808,1.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,176,0.25653776883092316,0.2698179261394675,MT,True,-0.013280157308544316,-5.176686991963703,0.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,177,0.22316470002720148,0.1976613112952753,MT,True,0.025503388731926174,11.428056824765553,1.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,178,0.3184651019843838,0.31391052303975325,MT,True,0.004554578944630572,1.4301657909298675,1.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,179,0.27984608298179786,0.23173913777616412,MT,True,0.048106945205633744,17.190501540363808,1.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,180,0.3794831542273919,0.3371003672687179,MT,True,0.04238278695867398,11.168555569999713,1.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,181,0.34050848401796174,0.2835640684987777,MT,True,0.056944415519184055,16.723347050636264,1.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,182,0.3046717022408664,0.2474721867577778,MT,True,0.05719951548308863,18.77414773422837,1.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,186,0.22960361358065262,0.20362741456790145,MT,True,0.025976199012751167,11.313497469684437,1.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,189,0.20528420358867655,0.24162723000941055,MT,True,-0.036343026420734004,-17.703761802127616,0.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,190,0.28146998777423526,0.23977210840348295,MT,True,0.04169787937075231,14.8143252147358,1.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,191,0.2888491266061121,0.26842951802278237,MT,True,0.02041960858332975,7.069299057003853,1.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,192,0.28697179177819493,0.2842336003501422,MT,True,0.0027381914280527053,0.954167450077845,1.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,193,0.32771482040322514,0.27013616566180104,MT,True,0.057578654741424096,17.56974392265155,1.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,195,0.3199852903412467,0.29286907897354747,MT,True,0.027116211367699206,8.474205592007452,1.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,197,0.19505380803497324,0.15287216842462947,MT,True,0.04218163961034377,21.62564270612988,1.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,200,0.4006710032213201,0.37976165204450774,MT,True,0.020909351176812363,5.2185835782238,1.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,201,0.46446368979628694,0.3843495195550468,MT,True,0.08011417024124012,17.24874774955564,1.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,203,0.31643261229479147,0.3082989952319955,MT,True,0.008133617062795973,2.5704104908183805,1.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,214,0.20097760742201473,0.21126464164359843,MT,True,-0.010287034221583696,-5.118497704066544,0.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,218,0.1914997214423194,0.2080966295549748,MT,True,-0.016596908112655406,-8.666805354938584,0.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,222,0.2903931107015106,0.26848043564511065,MT,True,0.021912675056399933,7.545866017091413,1.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,225,0.23104265272739008,0.26617578281628557,MT,True,-0.03513313008889549,-15.206339467695377,0.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,228,0.25094683303769866,0.18739695599100942,MT,True,0.06354987704668924,25.324040266785282,1.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,229,0.2786930859295012,0.24844929650588748,MT,True,0.03024378942361372,10.852005647267566,1.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,231,0.4406273012080325,0.4735630863899143,MT,True,-0.03293578518188178,-7.474749088761496,0.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,234,0.30655272660750016,0.22788203250056863,MT,True,0.07867069410693153,25.663022142242713,1.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,238,0.2327316587221489,0.2353975399480234,MT,True,-0.0026658812258744946,-1.1454742515530332,0.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,241,0.28657765524259904,0.275937040939161,MT,True,0.010640614303438045,3.7129951022979633,1.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,242,0.15533602650269285,0.13102166108087152,MT,True,0.024314365421821332,15.652753562226485,1.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,246,0.29687926396210257,0.2685663041822466,MT,True,0.028312959779855984,9.536860002276955,1.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,249,0.13044746069493865,0.13184866533053796,MT,True,-0.0014012046355993124,-1.0741524811097216,0.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,250,0.41468860407889424,0.39574477767288685,MT,True,0.01894382640600739,4.568205207395413,1.0,
BayesSensitivity,annual_draw_truncation_at_zero,NH4,254,0.3526168688216001,0.3174194307049091,MT,True,0.035197438116691016,9.981779440761384,1.0,
