Method,Scenario,Year,Analyte,Treatment,PointTotal_kg,primary_center_type,primary_center_within_draw_interval,Central_95_interval_kg
Bayes,model_only,2011,TN,CT,,posterior_median,True,"0.7696 (0.3763, 1.363)"
Bayes,model_only,2011,TN,MT,,posterior_median,True,"0.6129 (0.243, 1.129)"
Bayes,model_only,2011,TN,ST,,posterior_median,True,"0.61 (0.2225, 1.082)"
Bayes,model_only,2011,TP,CT,,posterior_median,True,"0.1433 (0.01113, 0.3687)"
Bayes,model_only,2011,TP,MT,,posterior_median,True,"0.116 (0.002287, 0.3301)"
Bayes,model_only,2011,TP,ST,,posterior_median,True,"0.104 (0.001894, 0.3026)"
Bayes,model_only,2011,TSS,CT,,posterior_median,True,"108.6 (10.17, 279.9)"
Bayes,model_only,2011,TSS,MT,,posterior_median,True,"50.56 (0.9183, 187.8)"
Bayes,model_only,2011,TSS,ST,,posterior_median,True,"39.64 (0, 178.3)"
Bayes,model_only,2012,TN,CT,,posterior_median,True,"0.493 (0.1251, 1.192)"
Bayes,model_only,2012,TN,MT,,posterior_median,True,"0.4218 (0.1294, 1.002)"
Bayes,model_only,2012,TN,ST,,posterior_median,True,"0.33 (0.07315, 0.8345)"
Bayes,model_only,2012,TP,CT,,posterior_median,True,"0.1904 (0.01153, 0.5036)"
Bayes,model_only,2012,TP,MT,,posterior_median,True,"0.1423 (0.008648, 0.3935)"
Bayes,model_only,2012,TP,ST,,posterior_median,True,"0.1191 (0.003673, 0.3544)"
Bayes,model_only,2012,TSS,CT,,posterior_median,True,"205.7 (36.71, 464.9)"
Bayes,model_only,2012,TSS,MT,,posterior_median,True,"91.14 (6.242, 284)"
Bayes,model_only,2012,TSS,ST,,posterior_median,True,"74.35 (2.806, 231.4)"
Bayes,model_only,2013,TN,CT,,posterior_median,True,"0.6966 (0, 2.463)"
Bayes,model_only,2013,TN,MT,,posterior_median,True,"0.6212 (0, 2.303)"
Bayes,model_only,2013,TN,ST,,posterior_median,True,"0.5509 (0, 2.036)"
Bayes,model_only,2013,TP,CT,,posterior_median,True,"0.07763 (0, 0.308)"
Bayes,model_only,2013,TP,MT,,posterior_median,True,"0.06484 (0, 0.272)"
