Method,Evaluation,Target,Grouping,Analyte,Treatment,n,RMSE_original_units,NRMSE_mean_observed,IntervalCoverage
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_overall,NH4,all,42,0.08568288550565083,0.7883200857036877,
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_overall,NO2,all,129,0.1759656820511013,0.6332614410342181,
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_overall,NO3,all,356,0.9028056795399776,0.12857858411265832,
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_overall,OP,all,335,0.09331302365849148,0.7703078515954425,
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_overall,Se,all,101,0.033990010179998746,5.135057032009862,
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_overall,TDS,all,97,91.29708048784077,0.1031635472792679,
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_overall,TKN,all,313,1.4962826133163565,0.5898321482840968,
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_overall,TN,all,104,1.1510214004377952,0.20276457859180078,
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_overall,TP,all,361,0.6368673138277172,0.7393431403371641,
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_overall,TSS,all,400,547.2401177377591,0.5604305826281227,
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,NH4,CT,14,0.13535332700461417,1.1661209711166758,
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,NH4,MT,14,0.038296094102176916,0.42994812945507366,
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,NH4,ST,14,0.047302818637186966,0.39116329646817344,
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,NO2,CT,42,0.12674439222141554,0.44755880892041805,
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,NO2,MT,43,0.11603060952491102,0.41506727753181427,
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,NO2,ST,44,0.2495786686548516,0.9204141665253097,
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,NO3,CT,121,0.6607316828496851,0.09529463941409932,
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,NO3,MT,116,1.1155959151056418,0.15571892928796038,
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,NO3,ST,119,0.8838792464167354,0.12678213689750376,
