model_version,source,interval_prob,Year,analyte,treatment,n_events,n_rows,volume_mean,volume_low,volume_high,conc_mean,conc_low,conc_high,load_mean,load_low,load_high
v1p7p5,Bayes_Modeled,0.95,2011,NH4,CT,12,12,405553.0545203959,387962.17453569744,423520.761193774,0.08746618469878428,-0.02513614345114963,0.1933012701880213,35.47206605597799,-10.304875655684727,77.84444562190262
v1p7p5,Bayes_Modeled,0.95,2011,NH4,MT,12,12,420234.01425085746,404239.7157276692,435869.6523110017,0.09547003755477847,-0.009671385109511533,0.1975660207555477,40.12815403931101,-4.112926563763352,83.11211742362514
v1p7p5,Bayes_Modeled,0.95,2011,NH4,ST,12,12,421100.48836440034,404369.31130225654,437478.6225557903,0.0959424270603457,-0.01014248577733971,0.19832123387311934,40.41009850182225,-4.292796493026571,83.06221255907892
v1p7p5,Bayes_Modeled,0.95,2012,NH4,CT,16,16,540957.1534898791,517614.84550821845,564742.1823717395,0.04496190255899664,-0.0612232415510645,0.14697666656101116,24.328507278732104,-33.596240819397906,79.47082453155261
v1p7p5,Bayes_Modeled,0.95,2012,NH4,MT,18,18,629147.5851074767,605865.6750950543,651762.9720103329,0.05655476288187999,-0.050742455522860774,0.15798652933841317,35.59794393946291,-31.8545817557057,99.27664903436276
v1p7p5,Bayes_Modeled,0.95,2012,NH4,ST,16,16,558092.8825214584,537777.2994115143,577610.2240088173,0.05000134896019457,-0.057911253518529396,0.1542276348977492,27.923896654824386,-32.31128582985996,86.65951424970444
v1p7p5,Bayes_Modeled,0.95,2013,NH4,CT,14,14,529316.6620303735,510310.76171925507,548120.1838261477,0.09378124242197995,-0.03466925602194483,0.20337292020501097,49.648519300440384,-18.354563621609735,107.72678937339055
v1p7p5,Bayes_Modeled,0.95,2013,NH4,MT,14,14,530394.9409272269,511212.9895132029,549845.1721979616,0.09074522233953336,-0.03769053974805778,0.1991451669968971,48.139019908957934,-20.0850038513529,106.62506765016178
v1p7p5,Bayes_Modeled,0.95,2013,NH4,ST,14,14,530394.9409272269,511212.9895132029,549845.1721979616,0.09428512456125167,-0.03427106816559142,0.2033552678750484,50.01700905975298,-18.09287398920281,108.10100923959692
v1p7p5,Bayes_Modeled,0.95,2014,NH4,CT,25,25,868504.5907395189,838188.7135409318,896156.248083592,0.11528820869880363,0.03652934505011313,0.1982439239485911,100.14409734458101,31.701754771517194,171.0994101955879
v1p7p5,Bayes_Modeled,0.95,2014,NH4,MT,8,8,280159.8604966318,269492.4390053554,290588.09189830377,0.10120908523995394,0.019429235393921336,0.18504908939157116,28.359438537876837,5.369590575795645,51.90893584248428
v1p7p5,Bayes_Modeled,0.95,2014,NH4,ST,24,24,840479.5814898955,808477.3170160663,871764.2756949114,0.11824486167758193,0.03724243217270865,0.20419189041723557,99.40408799340945,31.100730369361624,170.5245803069289
